service_id,project_id,amount,date,description,tags
EC2,Production API,1450.00,2026-03-01,Web server fleet March,"[""api"",""backend""]"
S3,Production API,380.50,2026-03-01,Object storage production,"[""storage""]"
RDS,Production API,920.00,2026-03-02,PostgreSQL primary + replica,"[""database""]"
Lambda,Production API,175.25,2026-03-03,API gateway functions,"[""serverless"",""api""]"
CloudFront,Production API,210.00,2026-03-03,CDN distribution global,"[""cdn"",""frontend""]"
EC2,Staging Environment,620.00,2026-03-01,Staging compute instances,"[""staging""]"
RDS,Staging Environment,340.00,2026-03-02,Staging database,"[""database"",""staging""]"
S3,Staging Environment,95.75,2026-03-04,Staging assets bucket,"[""storage"",""staging""]"
EKS,ML Pipeline,1850.00,2026-03-01,K8s cluster for training,"[""ml"",""training""]"
EC2,ML Pipeline,2100.00,2026-03-02,GPU instances model training,"[""ml"",""compute""]"
S3,ML Pipeline,520.00,2026-03-03,Training datasets storage,"[""ml"",""storage""]"
Lambda,ML Pipeline,88.50,2026-03-04,Inference endpoints,"[""ml"",""serverless""]"
EC2,Internal Tools,280.00,2026-03-01,Internal dashboard server,"[""internal""]"
RDS,Internal Tools,150.00,2026-03-02,Internal tools database,"[""internal"",""database""]"
S3,Internal Tools,45.00,2026-03-03,Internal assets,"[""internal"",""storage""]"
CloudFront,Internal Tools,32.00,2026-03-04,Internal CDN,"[""internal"",""cdn""]"
EKS,Production API,1100.00,2026-03-01,Production K8s workloads,"[""infrastructure""]"
Lambda,Staging Environment,65.00,2026-03-02,Staging lambda functions,"[""staging"",""serverless""]"
CloudFront,ML Pipeline,78.00,2026-03-03,ML model serving CDN,"[""ml"",""cdn""]"
EKS,Internal Tools,420.00,2026-03-04,Internal microservices cluster,"[""internal"",""infrastructure""]"
